id,title,text,label,category,source_type,author,publication_date,country,language,word_count,has_source,credibility_score,shares,likes,comments
199,Online message says students can receive guaranteed jobs by sharing one post,"An unverified internet post claims that online message says students can receive guaranteed jobs by sharing one post. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Business,Social Media/Unverified,Author_33,2026-03-25,USA,English,38,False,0.2,7273,16279,8488
200,Viral post claims a common household item can completely cure every disease,A viral online claim says that viral post claims a common household item can completely cure every disease. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Health,Social Media/Unverified,Author_43,2026-03-11,USA,English,42,False,0.17,68022,37235,13859
201,Government announces new scholarship program for college students,Officials and researchers have reported an update related to government announces new scholarship program for college students. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Health,Official/Reported,Author_51,2026-05-05,UK,English,39,True,0.9,12255,65878,10501
202,Scientists discover a new method to improve solar panel efficiency,Officials and researchers have reported an update related to scientists discover a new method to improve solar panel efficiency. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Science,Official/Reported,Author_44,2026-06-27,Australia,English,41,True,0.76,3728,10651,744
203,Local university opens a new artificial intelligence research center,"According to an update shared by relevant organizations, local university opens a new artificial intelligence research center. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Health,Official/Reported,Author_54,2026-07-20,India,English,33,True,0.87,82213,71514,4745
204,New public transport route launched to connect rural areas,"According to an update shared by relevant organizations, new public transport route launched to connect rural areas. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Health,Official/Reported,Author_124,2026-04-26,Canada,English,33,True,0.82,9574,7857,2589
205,Researchers publish study on reducing plastic waste in cities,"A recent report discusses researchers publish study on reducing plastic waste in cities. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Weather,Official/Reported,Author_124,2026-08-07,UK,English,29,True,0.9,40980,41858,12029
206,Health department releases updated vaccination schedule,"A recent report discusses health department releases updated vaccination schedule. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Weather,Official/Reported,Author_34,2026-06-17,Australia,English,26,True,0.78,31695,61146,2007
207,National bank introduces updated digital payment security guidelines,"A recent report discusses national bank introduces updated digital payment security guidelines. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Entertainment,Official/Reported,Author_64,2026-03-04,India,English,28,True,0.82,50361,54810,4067
208,Weather department issues rainfall advisory for several regions,Officials and researchers have reported an update related to weather department issues rainfall advisory for several regions. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Business,Official/Reported,Author_148,2026-06-07,USA,English,39,True,0.87,67476,61191,8171
209,University launches internship program for engineering students,"A recent report discusses university launches internship program for engineering students. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Entertainment,Official/Reported,Author_6,2026-02-13,Australia,English,27,True,0.86,31562,28204,9557
210,Technology company releases a software update with security fixes,"A recent report discusses technology company releases a software update with security fixes. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Politics,Official/Reported,Author_13,2026-05-16,Australia,English,29,True,0.96,85765,61685,4681
211,Celebrity secretly becomes president of the country overnight,"An unverified internet post claims that celebrity secretly becomes president of the country overnight. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Politics,Social Media/Unverified,Author_28,2026-07-05,UK,English,34,False,0.3,52865,47969,741
212,Scientists confirm that drinking one glass of water gives superpowers,Social media users are circulating a story claiming that scientists confirm that drinking one glass of water gives superpowers. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Politics,Social Media/Unverified,Author_146,2026-04-12,Australia,English,34,False,0.15,50649,66098,7378
213,Government announces free smartphones for every citizen tomorrow,"An unverified internet post claims that government announces free smartphones for every citizen tomorrow. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Health,Social Media/Unverified,Author_31,2026-03-04,Canada,English,34,False,0.18,44454,73121,5990
214,New app claims it can predict every person's future with 100 percent accuracy,A viral online claim says that new app claims it can predict every person's future with 100 percent accuracy. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Education,Social Media/Unverified,Author_131,2026-07-17,India,English,43,False,0.07,17971,43657,13172
215,Internet users discover a hidden button that makes phones charge instantly,Social media users are circulating a story claiming that internet users discover a hidden button that makes phones charge instantly. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Entertainment,Social Media/Unverified,Author_39,2026-03-11,Australia,English,35,False,0.16,51515,39226,9727
216,Researchers prove that humans can survive without sleep for one year,Social media users are circulating a story claiming that researchers prove that humans can survive without sleep for one year. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Entertainment,Social Media/Unverified,Author_145,2026-05-16,India,English,35,False,0.18,88327,14371,6824
217,Company announces that its laptop can run for ten years without charging,"An unverified internet post claims that company announces that its laptop can run for ten years without charging. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Health,Social Media/Unverified,Author_7,2026-08-09,Australia,English,38,False,0.25,94565,6736,9560
218,Social media post claims the moon will disappear for seven days,Social media users are circulating a story claiming that social media post claims the moon will disappear for seven days. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Science,Social Media/Unverified,Author_135,2026-07-05,USA,English,35,False,0.06,91828,14409,3125
219,Online message says students can receive guaranteed jobs by sharing one post,A viral online claim says that online message says students can receive guaranteed jobs by sharing one post. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Entertainment,Social Media/Unverified,Author_81,2026-07-05,Canada,English,42,False,0.29,53798,65779,12697
220,Viral post claims a common household item can completely cure every disease,"An unverified internet post claims that viral post claims a common household item can completely cure every disease. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Entertainment,Social Media/Unverified,Author_16,2026-03-17,USA,English,38,False,0.25,86809,62706,8609
221,Government announces new scholarship program for college students,"A recent report discusses government announces new scholarship program for college students. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_45,2026-08-18,UK,English,28,True,0.88,88597,34655,9995
222,Scientists discover a new method to improve solar panel efficiency,"A recent report discusses scientists discover a new method to improve solar panel efficiency. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Education,Official/Reported,Author_64,2026-05-18,UK,English,30,True,0.8,39018,37885,11549
223,Local university opens a new artificial intelligence research center,Officials and researchers have reported an update related to local university opens a new artificial intelligence research center. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Entertainment,Official/Reported,Author_82,2026-08-12,Australia,English,40,True,0.97,94599,35847,4715
224,New public transport route launched to connect rural areas,Officials and researchers have reported an update related to new public transport route launched to connect rural areas. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Weather,Official/Reported,Author_102,2026-06-25,USA,English,40,True,0.82,37710,10363,5674
225,Researchers publish study on reducing plastic waste in cities,"A recent report discusses researchers publish study on reducing plastic waste in cities. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Health,Official/Reported,Author_123,2026-04-07,Australia,English,29,True,0.82,73674,35606,2249
226,Health department releases updated vaccination schedule,Officials and researchers have reported an update related to health department releases updated vaccination schedule. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Education,Official/Reported,Author_63,2026-01-22,Australia,English,37,True,0.8,30528,6885,1641
227,National bank introduces updated digital payment security guidelines,"A recent report discusses national bank introduces updated digital payment security guidelines. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_121,2026-02-22,USA,English,28,True,0.75,72145,20706,6666
228,Weather department issues rainfall advisory for several regions,"According to an update shared by relevant organizations, weather department issues rainfall advisory for several regions. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Entertainment,Official/Reported,Author_123,2026-04-25,UK,English,32,True,0.83,84669,7759,14875
229,University launches internship program for engineering students,Officials and researchers have reported an update related to university launches internship program for engineering students. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Education,Official/Reported,Author_137,2026-01-06,Canada,English,38,True,0.96,23050,4768,13700
230,Technology company releases a software update with security fixes,"A recent report discusses technology company releases a software update with security fixes. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Entertainment,Official/Reported,Author_48,2026-05-02,India,English,29,True,0.82,79017,14069,5489
231,Celebrity secretly becomes president of the country overnight,Social media users are circulating a story claiming that celebrity secretly becomes president of the country overnight. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Entertainment,Social Media/Unverified,Author_140,2026-08-05,Australia,English,32,False,0.21,25282,14769,5417
232,Scientists confirm that drinking one glass of water gives superpowers,A viral online claim says that scientists confirm that drinking one glass of water gives superpowers. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Entertainment,Social Media/Unverified,Author_66,2026-03-01,UK,English,40,False,0.33,74430,25323,2875
233,Government announces free smartphones for every citizen tomorrow,"An unverified internet post claims that government announces free smartphones for every citizen tomorrow. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Weather,Social Media/Unverified,Author_110,2026-06-03,Canada,English,34,False,0.28,24229,18435,7822
234,New app claims it can predict every person's future with 100 percent accuracy,Social media users are circulating a story claiming that new app claims it can predict every person's future with 100 percent accuracy. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Education,Social Media/Unverified,Author_2,2026-05-13,USA,English,37,False,0.21,35005,43209,4947
235,Internet users discover a hidden button that makes phones charge instantly,"An unverified internet post claims that internet users discover a hidden button that makes phones charge instantly. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Politics,Social Media/Unverified,Author_67,2026-06-23,USA,English,37,False,0.07,15505,61005,5026
236,Researchers prove that humans can survive without sleep for one year,A viral online claim says that researchers prove that humans can survive without sleep for one year. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Weather,Social Media/Unverified,Author_129,2026-05-23,India,English,41,False,0.27,38681,48179,10070
237,Company announces that its laptop can run for ten years without charging,A viral online claim says that company announces that its laptop can run for ten years without charging. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Education,Social Media/Unverified,Author_35,2026-08-05,Canada,English,42,False,0.31,79405,48976,6813
238,Social media post claims the moon will disappear for seven days,"An unverified internet post claims that social media post claims the moon will disappear for seven days. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Entertainment,Social Media/Unverified,Author_138,2026-04-25,USA,English,37,False,0.29,78104,10735,8609
239,Online message says students can receive guaranteed jobs by sharing one post,Social media users are circulating a story claiming that online message says students can receive guaranteed jobs by sharing one post. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Business,Social Media/Unverified,Author_20,2026-02-02,Australia,English,36,False,0.37,26507,75070,8792
240,Viral post claims a common household item can completely cure every disease,A viral online claim says that viral post claims a common household item can completely cure every disease. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Science,Social Media/Unverified,Author_84,2026-08-04,USA,English,42,False,0.3,64081,11924,14727
241,Government announces new scholarship program for college students,"According to an update shared by relevant organizations, government announces new scholarship program for college students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Entertainment,Official/Reported,Author_15,2026-08-05,Australia,English,32,True,0.85,73922,7572,9155
242,Scientists discover a new method to improve solar panel efficiency,"A recent report discusses scientists discover a new method to improve solar panel efficiency. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Health,Official/Reported,Author_6,2026-07-09,India,English,30,True,0.93,75810,9577,742
243,Local university opens a new artificial intelligence research center,"A recent report discusses local university opens a new artificial intelligence research center. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_17,2026-01-03,Canada,English,29,True,0.76,53601,23595,12598
244,New public transport route launched to connect rural areas,Officials and researchers have reported an update related to new public transport route launched to connect rural areas. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Weather,Official/Reported,Author_96,2026-07-15,Canada,English,40,True,0.84,89496,70692,2178
245,Researchers publish study on reducing plastic waste in cities,"According to an update shared by relevant organizations, researchers publish study on reducing plastic waste in cities. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Business,Official/Reported,Author_31,2026-03-18,Canada,English,33,True,0.88,95411,29193,13677
246,Health department releases updated vaccination schedule,Officials and researchers have reported an update related to health department releases updated vaccination schedule. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Politics,Official/Reported,Author_77,2026-08-22,Australia,English,37,True,0.85,49722,30107,4055
247,National bank introduces updated digital payment security guidelines,"A recent report discusses national bank introduces updated digital payment security guidelines. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_40,2026-05-07,India,English,28,True,0.76,86543,54955,10074
248,Weather department issues rainfall advisory for several regions,Officials and researchers have reported an update related to weather department issues rainfall advisory for several regions. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Education,Official/Reported,Author_53,2026-02-04,Australia,English,39,True,0.76,78362,6385,4009
249,University launches internship program for engineering students,"According to an update shared by relevant organizations, university launches internship program for engineering students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Politics,Official/Reported,Author_103,2026-08-08,Australia,English,31,True,0.8,7408,18372,8255
250,Technology company releases a software update with security fixes,"A recent report discusses technology company releases a software update with security fixes. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Education,Official/Reported,Author_148,2026-06-19,Australia,English,29,True,0.94,42040,31056,4944
251,Celebrity secretly becomes president of the country overnight,A viral online claim says that celebrity secretly becomes president of the country overnight. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Education,Social Media/Unverified,Author_106,2026-05-09,India,English,38,False,0.24,77560,22960,10256
252,Scientists confirm that drinking one glass of water gives superpowers,"An unverified internet post claims that scientists confirm that drinking one glass of water gives superpowers. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Weather,Social Media/Unverified,Author_143,2026-08-02,UK,English,36,False,0.38,88004,49963,12874
253,Government announces free smartphones for every citizen tomorrow,"An unverified internet post claims that government announces free smartphones for every citizen tomorrow. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Business,Social Media/Unverified,Author_107,2026-07-05,UK,English,34,False,0.18,98892,70512,7758
254,New app claims it can predict every person's future with 100 percent accuracy,A viral online claim says that new app claims it can predict every person's future with 100 percent accuracy. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Education,Social Media/Unverified,Author_77,2026-03-26,Canada,English,43,False,0.37,73723,54095,6824
255,Internet users discover a hidden button that makes phones charge instantly,"An unverified internet post claims that internet users discover a hidden button that makes phones charge instantly. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Science,Social Media/Unverified,Author_100,2026-04-09,USA,English,37,False,0.17,10373,58959,13879
256,Researchers prove that humans can survive without sleep for one year,Social media users are circulating a story claiming that researchers prove that humans can survive without sleep for one year. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Technology,Social Media/Unverified,Author_138,2026-04-02,UK,English,35,False,0.18,79304,79031,647
257,Company announces that its laptop can run for ten years without charging,A viral online claim says that company announces that its laptop can run for ten years without charging. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Education,Social Media/Unverified,Author_144,2026-04-16,USA,English,42,False,0.35,43652,39744,14892
258,Social media post claims the moon will disappear for seven days,A viral online claim says that social media post claims the moon will disappear for seven days. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Education,Social Media/Unverified,Author_49,2026-02-24,Canada,English,41,False,0.37,91187,79225,11530
259,Online message says students can receive guaranteed jobs by sharing one post,A viral online claim says that online message says students can receive guaranteed jobs by sharing one post. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Weather,Social Media/Unverified,Author_62,2026-06-25,UK,English,42,False,0.18,69956,47093,5053
260,Viral post claims a common household item can completely cure every disease,Social media users are circulating a story claiming that viral post claims a common household item can completely cure every disease. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Business,Social Media/Unverified,Author_132,2026-08-15,India,English,36,False,0.33,94698,61542,12478
261,Government announces new scholarship program for college students,"A recent report discusses government announces new scholarship program for college students. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Education,Official/Reported,Author_95,2026-06-14,India,English,28,True,0.89,29012,19131,265
262,Scientists discover a new method to improve solar panel efficiency,"A recent report discusses scientists discover a new method to improve solar panel efficiency. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Weather,Official/Reported,Author_76,2026-03-07,UK,English,30,True,0.81,74693,32213,8180
263,Local university opens a new artificial intelligence research center,"According to an update shared by relevant organizations, local university opens a new artificial intelligence research center. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Business,Official/Reported,Author_66,2026-08-24,Canada,English,33,True,0.86,96055,46165,2773
264,New public transport route launched to connect rural areas,Officials and researchers have reported an update related to new public transport route launched to connect rural areas. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Entertainment,Official/Reported,Author_48,2026-01-17,India,English,40,True,0.95,9752,6363,12522
265,Researchers publish study on reducing plastic waste in cities,Officials and researchers have reported an update related to researchers publish study on reducing plastic waste in cities. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Weather,Official/Reported,Author_36,2026-04-03,USA,English,40,True,0.75,66297,59775,6114
266,Health department releases updated vaccination schedule,Officials and researchers have reported an update related to health department releases updated vaccination schedule. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Entertainment,Official/Reported,Author_125,2026-01-01,Australia,English,37,True,0.88,1563,2197,8673
267,National bank introduces updated digital payment security guidelines,"According to an update shared by relevant organizations, national bank introduces updated digital payment security guidelines. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Health,Official/Reported,Author_138,2026-05-01,Australia,English,32,True,0.95,88356,56441,13208
268,Weather department issues rainfall advisory for several regions,Officials and researchers have reported an update related to weather department issues rainfall advisory for several regions. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Technology,Official/Reported,Author_25,2026-03-08,USA,English,39,True,0.9,33094,46462,4379
269,University launches internship program for engineering students,"A recent report discusses university launches internship program for engineering students. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Technology,Official/Reported,Author_96,2026-07-15,Australia,English,27,True,0.81,91398,29608,4914
270,Technology company releases a software update with security fixes,"According to an update shared by relevant organizations, technology company releases a software update with security fixes. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Technology,Official/Reported,Author_9,2026-02-13,Canada,English,33,True,0.84,62400,7360,10432
271,Celebrity secretly becomes president of the country overnight,A viral online claim says that celebrity secretly becomes president of the country overnight. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Science,Social Media/Unverified,Author_22,2026-08-28,Canada,English,38,False,0.28,43430,74172,14056
272,Scientists confirm that drinking one glass of water gives superpowers,A viral online claim says that scientists confirm that drinking one glass of water gives superpowers. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Politics,Social Media/Unverified,Author_59,2026-04-28,Australia,English,40,False,0.22,6112,9749,11213
273,Government announces free smartphones for every citizen tomorrow,Social media users are circulating a story claiming that government announces free smartphones for every citizen tomorrow. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Politics,Social Media/Unverified,Author_46,2026-06-01,USA,English,32,False,0.26,98609,52210,1260
274,New app claims it can predict every person's future with 100 percent accuracy,Social media users are circulating a story claiming that new app claims it can predict every person's future with 100 percent accuracy. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Science,Social Media/Unverified,Author_145,2026-04-19,Canada,English,37,False,0.29,70862,43485,6288
275,Internet users discover a hidden button that makes phones charge instantly,"An unverified internet post claims that internet users discover a hidden button that makes phones charge instantly. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Science,Social Media/Unverified,Author_21,2026-06-02,India,English,37,False,0.2,9973,44647,9915
276,Researchers prove that humans can survive without sleep for one year,"An unverified internet post claims that researchers prove that humans can survive without sleep for one year. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Weather,Social Media/Unverified,Author_84,2026-01-21,UK,English,37,False,0.32,59064,64309,3737
277,Company announces that its laptop can run for ten years without charging,Social media users are circulating a story claiming that company announces that its laptop can run for ten years without charging. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Weather,Social Media/Unverified,Author_111,2026-03-22,Australia,English,36,False,0.28,11242,38720,13075
278,Social media post claims the moon will disappear for seven days,A viral online claim says that social media post claims the moon will disappear for seven days. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Technology,Social Media/Unverified,Author_22,2026-05-05,Canada,English,41,False,0.3,83096,20226,12118
279,Online message says students can receive guaranteed jobs by sharing one post,Social media users are circulating a story claiming that online message says students can receive guaranteed jobs by sharing one post. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Business,Social Media/Unverified,Author_93,2026-02-03,India,English,36,False,0.38,58302,47180,12473
280,Viral post claims a common household item can completely cure every disease,Social media users are circulating a story claiming that viral post claims a common household item can completely cure every disease. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Technology,Social Media/Unverified,Author_34,2026-02-06,Canada,English,36,False,0.21,72720,67171,6685
281,Government announces new scholarship program for college students,Officials and researchers have reported an update related to government announces new scholarship program for college students. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Politics,Official/Reported,Author_23,2026-06-18,India,English,39,True,0.89,42533,50498,202
282,Scientists discover a new method to improve solar panel efficiency,"A recent report discusses scientists discover a new method to improve solar panel efficiency. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Weather,Official/Reported,Author_100,2026-02-24,Australia,English,30,True,0.97,31826,74972,8537
283,Local university opens a new artificial intelligence research center,Officials and researchers have reported an update related to local university opens a new artificial intelligence research center. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Weather,Official/Reported,Author_44,2026-03-09,UK,English,40,True,0.81,19137,8297,2739
284,New public transport route launched to connect rural areas,"A recent report discusses new public transport route launched to connect rural areas. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Health,Official/Reported,Author_108,2026-05-16,India,English,29,True,0.84,32331,64990,9728
285,Researchers publish study on reducing plastic waste in cities,"According to an update shared by relevant organizations, researchers publish study on reducing plastic waste in cities. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Education,Official/Reported,Author_118,2026-02-05,UK,English,33,True,0.75,51874,43549,13788
286,Health department releases updated vaccination schedule,"According to an update shared by relevant organizations, health department releases updated vaccination schedule. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Weather,Official/Reported,Author_85,2026-08-11,Canada,English,30,True,0.95,85342,77913,2230
287,National bank introduces updated digital payment security guidelines,"A recent report discusses national bank introduces updated digital payment security guidelines. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_52,2026-08-11,USA,English,28,True,0.98,41840,38205,12040
288,Weather department issues rainfall advisory for several regions,"According to an update shared by relevant organizations, weather department issues rainfall advisory for several regions. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Entertainment,Official/Reported,Author_148,2026-04-11,Canada,English,32,True,0.82,51512,47848,1865
289,University launches internship program for engineering students,"According to an update shared by relevant organizations, university launches internship program for engineering students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Education,Official/Reported,Author_140,2026-03-22,Australia,English,31,True,0.76,95327,60510,11605
290,Technology company releases a software update with security fixes,Officials and researchers have reported an update related to technology company releases a software update with security fixes. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Entertainment,Official/Reported,Author_75,2026-02-27,Canada,English,40,True,0.91,18252,39697,3965
291,Celebrity secretly becomes president of the country overnight,Social media users are circulating a story claiming that celebrity secretly becomes president of the country overnight. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Science,Social Media/Unverified,Author_109,2026-07-03,Canada,English,32,False,0.4,62824,76320,6566
292,Scientists confirm that drinking one glass of water gives superpowers,"An unverified internet post claims that scientists confirm that drinking one glass of water gives superpowers. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Weather,Social Media/Unverified,Author_140,2026-01-26,UK,English,36,False,0.3,70383,77838,10455
293,Government announces free smartphones for every citizen tomorrow,A viral online claim says that government announces free smartphones for every citizen tomorrow. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Technology,Social Media/Unverified,Author_64,2026-06-06,Australia,English,38,False,0.07,84555,52383,12331
294,New app claims it can predict every person's future with 100 percent accuracy,Social media users are circulating a story claiming that new app claims it can predict every person's future with 100 percent accuracy. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Weather,Social Media/Unverified,Author_28,2026-01-04,UK,English,37,False,0.13,97901,68004,9142
295,Internet users discover a hidden button that makes phones charge instantly,"An unverified internet post claims that internet users discover a hidden button that makes phones charge instantly. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Education,Social Media/Unverified,Author_115,2026-06-13,Canada,English,37,False,0.32,77157,65602,2469
296,Researchers prove that humans can survive without sleep for one year,Social media users are circulating a story claiming that researchers prove that humans can survive without sleep for one year. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Politics,Social Media/Unverified,Author_124,2026-02-10,Canada,English,35,False,0.37,11263,15218,13620
297,Company announces that its laptop can run for ten years without charging,"An unverified internet post claims that company announces that its laptop can run for ten years without charging. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Science,Social Media/Unverified,Author_90,2026-05-11,Canada,English,38,False,0.32,68313,63303,5706
298,Social media post claims the moon will disappear for seven days,Social media users are circulating a story claiming that social media post claims the moon will disappear for seven days. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Technology,Social Media/Unverified,Author_113,2026-08-11,India,English,35,False,0.16,93173,15089,370
299,Online message says students can receive guaranteed jobs by sharing one post,Social media users are circulating a story claiming that online message says students can receive guaranteed jobs by sharing one post. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Technology,Social Media/Unverified,Author_43,2026-04-17,USA,English,36,False,0.24,43393,73385,6985
300,Viral post claims a common household item can completely cure every disease,Social media users are circulating a story claiming that viral post claims a common household item can completely cure every disease. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Education,Social Media/Unverified,Author_104,2026-03-06,Canada,English,36,False,0.19,96660,25868,7365
301,Government announces new scholarship program for college students,"According to an update shared by relevant organizations, government announces new scholarship program for college students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Weather,Official/Reported,Author_100,2026-01-23,USA,English,32,True,0.8,98618,8205,9459
302,Scientists discover a new method to improve solar panel efficiency,Officials and researchers have reported an update related to scientists discover a new method to improve solar panel efficiency. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Science,Official/Reported,Author_94,2026-06-07,Canada,English,41,True,0.78,87920,64162,8646
